Title,Photographer,Description,Subject,Publisher,Contributors,Date,Type,Genre,Digitization,Identifier,Neg. number,Source,Relation,Language,Location depicted,Rights,Rights Notes,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"William Delbert Barkhuff, ca. 1892","Barkhuff, William Delbert",A portrait of William Delbert Barkhuff.,"Barkhuff, William Delbert","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1892~,Image,Glass negatives; Portrait photographs; Self-portraits,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n01,pc149_89-028,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,2/7/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/0,0,1.jpg,/barkhuff/image/1.jpg
Power Plant Building,"Barkhuff, William Delbert",Power Plant building during winter.,Power plants--Washington (State)--Pullman; Winter--Washington (State)--Pullman; Snow--Washington (State)--Pullman; Walkways--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1892/1898,Image,Photographic prints; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n02,pc149_99-100,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/4,4,4.jpg,/barkhuff/image/4.jpg
Engine Room ca. 1899,"Barkhuff, William Delbert","The engine room ca. 1899 with Matthew Sillman &quot;engineer&quot; in the foreground. The room was once located in the SE corner of the old Mechanical Engineering, WSU Building 22. A figure is visible exiting                         the arched entrance. Prof. A. R. Saunders designed the building and oversaw construction (his                         only compensation for the latter task was permission to live in the building rent free).",Engine rooms--Washington (State)--Pullman; Men--Washington (State)--Pullman; Power plants--Washington (State)--Pullman; Engineers--Washington (State)--Pullman; Mechanical Engineering,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1899~,Image,Photographic prints; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n03,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/5,5,5.jpg,/barkhuff/image/5.jpg
"Class Portrait, 1893","Barkhuff, William Delbert",A class portrait with Barkhuff (the tallest man) standing in the back row.,Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1893,Image,Photographic prints; Group portraits; Self-portraits,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n04,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/6,6,6.jpg,/barkhuff/image/6.jpg
W.A.C. Class of 1898,"Barkhuff, William Delbert",Group portrait of the W.A.C class of 1898. Barkhuff is seated in the middle row second to the right.,Decorations--Washington (State)--Pullman; Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1898,Image,Photographic prints; Group portraits; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n05,pc149_84-041,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/7,7,7.jpg,/barkhuff/image/7.jpg
Photographic prints; Glass negatives,"Barkhuff, William Delbert","Engineering class with their surveying equipment in front of the Administration Building, later Thompson Hall.",Men--Washington (State)--Pullman; Engineers--Washington (State)--Pullman; Students--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Thompson Hall--Washington (State)--Pullman; Washington State University--Washington (State)--Pullman; Administration Building--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1896~,Image,Photographic prints; Glass negatives;,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n06,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/8,8,8.jpg,/barkhuff/image/8.jpg
Mechanical Hall,"Barkhuff, William Delbert",Inside Mechanical Hall,Mechanical works--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1892/1898,Image,Photographic prints,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n08,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/9,9,10.jpg,/barkhuff/image/10.jpg
Mechanical Laboratory Wood Room 1898,"Barkhuff, William Delbert",An interior view of students working with early power tools in the old Mechanical Engineering Building.,Woodworking--Washington (State)--Pullman; Employees--Washington (State)--Pullman; Men--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1898,Image,Photographic prints; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n07,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/10,10,9.jpg,/barkhuff/image/9.jpg
Looking from Campus on Pullman,"Barkhuff, William Delbert",A photograph looking west over Pullman.,Hills--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Valleys--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1892/1898,Image,Photographic prints; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f01n09,pc149_78-366,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,1/20/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/11,11,11.jpg,/barkhuff/image/11.jpg
"Cave Family Residence, Pullman","Barkhuff, William Delbert","Cave family residence, Pullman. The Klemgard home at Reaney Park is the one with the union dome. Reaney Way  St is at base of hill below Thompson Hall",Houses--Washington (State)--Pullman; Men--Washington (State)--Pullman,"Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc",,1892/1898,Image,Photographic prints; Glass negatives,Original photographic prints were scanned as 300 dpi TIFF files on a Microtek 9600XL scanner. 72 dpi JPEG files were then added to the CONTENT database at the WSU Libraries.,pc007f02n01,pc149_77-005,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv88922,,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,,6/18/2002,2/7/2018,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/barkhuff/id/12,12,12.jpg,/barkhuff/image/12.jpg
